raw_key,source_tool,raw_name,raw_scale,std_competency,competency_family,domain,unit,stacking_status,confidence,confirmation_status,reasoning
M_Number Identification Untimed,did_midline,Number Identification Untimed (prose 73%),pct,number_recognition,number_sense,numeracy,pct,stack,high,provisional,
J_NC,july_tool,Number Comparison (/1),raw/1,number_comparison,number_sense,numeracy,pct,stack_with_caveat,medium,provisional,Single item: 0 or 100 only.
A_NC,aug_tool,Number Comparison ( /4),raw/4,number_comparison,number_sense,numeracy,pct,stack_with_caveat,medium,provisional,Near ceiling.
B_Number Comparison,did_baseline,Number Comparison - %age correct,pct,number_comparison,number_sense,numeracy,pct,stack,high,provisional,
M_Number comparison,did_midline,Number comparison (prose 75%),pct,number_comparison,number_sense,numeracy,pct,stack,high,provisional,
J_CIB,july_tool,Counting in Bundle (/1),raw/1,place_value_bundles,place_value,numeracy,pct,stack_with_caveat,medium,provisional,Single item.
A_CIB,aug_tool,Counting in Bundles ( /2),raw/2,place_value_bundles,place_value,numeracy,pct,stack_with_caveat,medium,provisional,
Q3_CIB,q3_2025_tool,Counting in Bundles (/3),raw/3,place_value_bundles,place_value,numeracy,pct,stack_with_caveat,medium,provisional,
N1_Place Value,q1_2026_tool,Place Value,"fraction, 4 items",place_value_bundles,place_value,numeracy,pct,stack_with_caveat,low,provisional,Bundling tens = NIPUN route to place value. Different label.
N2_Place Value,q2_2026_tool,Place Value,"fraction, 4 items",place_value_bundles,place_value,numeracy,pct,stack_with_caveat,low,provisional,
B_Counting In Bundles,did_baseline,Counting In Bundles - %age correct,pct,place_value_bundles,place_value,numeracy,pct,stack_with_caveat,medium,provisional,March bands only.
A_ADD1,aug_tool,One Digit Addition ( /4),raw/4,addition_1digit,addition,numeracy,pct,stack_with_caveat,high,provisional,1-digit: kept off the 2-digit line.
J_ADD,july_tool,One Digit Addition Achieved (flag only),Yes/No,addition_1digit,addition,numeracy,pct,stack_with_caveat,medium,provisional,No separate raw score; contributes to pct_achieved only.
J_ADDSUB,july_tool,Addition & Subtraction (/2) combined raw,raw/2,add_sub_1digit_combined,addition,numeracy,pct,single_source,medium,provisional,Combined score cannot be split.
Q3_ADD,q3_2025_tool,Addition (/3),raw/3,addition,addition,numeracy,pct,stack_with_caveat,low,provisional,Digit level not stated. Not stacked with DiD Level 2 (see addition_2digit/subtraction_2digit). Stacks across district tools Q3 2025 -> 2026.
N1_Addition,q1_2026_tool,Addition,"fraction, 4 items",addition,addition,numeracy,pct,stack_with_caveat,low,provisional,Digit level not stated. Not stacked with DiD Level 2 (see addition_2digit/subtraction_2digit). Stacks across district tools Q3 2025 -> 2026.
N2_Addition,q2_2026_tool,Addition,"fraction, 4 items",addition,addition,numeracy,pct,stack_with_caveat,low,provisional,Digit level not stated. Not stacked with DiD Level 2 (see addition_2digit/subtraction_2digit). Stacks across district tools Q3 2025 -> 2026.
B_Addition Level 2,did_baseline,Addition Level 2 - %age correct,pct,addition_2digit,addition,numeracy,pct,stack,high,provisional,"Nov 2025 same-month check: district tool scores +27.7 pp above DiD Level 2, and the gap persists Mar->Apr 2026. DiD item is explicitly 2-digit; district item is likely easier. Kept on separate lines."
M_Addition 2,did_midline,Addition 2 (prose 53%),pct,addition_2digit,addition,numeracy,pct,stack,high,provisional,"Nov 2025 same-month check: district tool scores +27.7 pp above DiD Level 2, and the gap persists Mar->Apr 2026. DiD item is explicitly 2-digit; district item is likely easier. Kept on separate lines."
A_SUB1,aug_tool,One Digit Subtraction ( /4),raw/4,subtraction_1digit,subtraction,numeracy,pct,stack_with_caveat,high,provisional,
J_SUB,july_tool,One Digit Subtraction Achieved (flag only),Yes/No,subtraction_1digit,subtraction,numeracy,pct,stack_with_caveat,medium,provisional,Flag only.
Q3_SUB,q3_2025_tool,Subtraction (/3),raw/3,subtraction,subtraction,numeracy,pct,stack_with_caveat,low,provisional,Digit level not stated. Not stacked with DiD Level 2 (see addition_2digit/subtraction_2digit). Stacks across district tools Q3 2025 -> 2026.
N1_Subtraction,q1_2026_tool,Subtraction,"fraction, 4 items",subtraction,subtraction,numeracy,pct,stack_with_caveat,low,provisional,Digit level not stated. Not stacked with DiD Level 2 (see addition_2digit/subtraction_2digit). Stacks across district tools Q3 2025 -> 2026.
N2_Subtraction,q2_2026_tool,Subtraction,"fraction, 4 items",subtraction,subtraction,numeracy,pct,stack_with_caveat,low,provisional,Digit level not stated. Not stacked with DiD Level 2 (see addition_2digit/subtraction_2digit). Stacks across district tools Q3 2025 -> 2026.
B_Subtraction Level 2,did_baseline,Subtraction Level 2 - %age correct,pct,subtraction_2digit,subtraction,numeracy,pct,stack,high,provisional,"Nov 2025 same-month check: district tool scores +22.2 pp above DiD Level 2, and the gap persists Mar->Apr 2026. DiD item is explicitly 2-digit; district item is likely easier. Kept on separate lines."
M_Subtraction 2,did_midline,Subtraction 2 (prose 46%),pct,subtraction_2digit,subtraction,numeracy,pct,stack,high,provisional,"Nov 2025 same-month check: district tool scores +22.2 pp above DiD Level 2, and the gap persists Mar->Apr 2026. DiD item is explicitly 2-digit; district item is likely easier. Kept on separate lines."
J_PAT,july_tool,Identifiying Patterns (/2),raw/2,pattern,pattern,numeracy,pct,stack_with_caveat,low,provisional,Number vs shape pattern unstated. Kept off the DiD number-pattern line: Excel levels (55-70%) sit far above either DiD pattern item (27-37%).
Q3_PAT,q3_2025_tool,Pattern (/3),raw/3,pattern,pattern,numeracy,pct,stack_with_caveat,low,provisional,
N1_Pattern,q1_2026_tool,Pattern,fraction,pattern,pattern,numeracy,pct,stack_with_caveat,low,provisional,
N2_Pattern,q2_2026_tool,Pattern,fraction,pattern,pattern,numeracy,pct,stack_with_caveat,low,provisional,
B_Number Pattern,did_baseline,Number Pattern - %age correct,pct,number_pattern,pattern,numeracy,pct,stack,high,provisional,
M_Number Pattern,did_midline,Number Pattern (prose 30%),pct,number_pattern,pattern,numeracy,pct,stack,high,provisional,
B_Shape Pattern,did_baseline,Shape Pattern - %age correct,pct,shape_pattern,pattern,numeracy,pct,single_source,high,provisional,
J_SHP,july_tool,2D Shapes (/2),raw/2,shapes_2d,shapes,numeracy,pct,single_source,medium,provisional,Near ceiling.
B_Shapes 1,did_baseline,Shapes 1 - %age correct,pct,shapes_1,shapes,numeracy,pct,single_source,medium,provisional,
B_Shapes 2,did_baseline,Shapes 2 - %age correct,pct,shapes_2,shapes,numeracy,pct,single_source,low,provisional,"March ""Shapes"" 16% is closest to this item; not stacked."
M_Shapes,did_midline,Shapes (prose 16%),pct,shapes_midline_unspecified,shapes,numeracy,pct,single_source,low,provisional,"Cannot tell whether this is Shapes 1, Shapes 2, or a composite."
B_Measurement,did_baseline,Measurement - %age correct,pct,measurement,measurement,numeracy,pct,stack,high,provisional,Q1 2026 G1 battery excluded.
M_Measurement,did_midline,Measurement (prose 93%),pct,measurement,measurement,numeracy,pct,stack,high,provisional,
B_Word Problem - Addition,did_baseline,Word Problem - Addition - %age correct,pct,word_problem_addition,word_problems,numeracy,pct,stack,high,provisional,
M_Word Problems,did_midline,Word Problems (prose: 61% on addition),pct,word_problem_addition,word_problems,numeracy,pct,stack,medium,provisional,
B_Word Problem - Subtraction,did_baseline,Word Problem - Subtraction - %age correct,pct,word_problem_subtraction,word_problems,numeracy,pct,stack,high,provisional,March bands only.
B_Multiplication,did_baseline,Multiplication - %age correct,pct,multiplication,multiplication,numeracy,pct,stack,high,provisional,March bands only.
B_Data Handling,did_baseline,Data Handling - %age correct,pct,data_handling,data_handling,numeracy,pct,stack,high,provisional,March bands only.
B_Money,did_baseline,Money - %age correct,pct,money,money,numeracy,pct,single_source,high,provisional,Absent from March and Excel.
B_Number Writing,did_baseline,Number Writing - %age correct,pct,number_writing,number_writing,numeracy,pct,stack,high,provisional,March bands only.
M_Listening Comprehension,did_midline,Listening Comprehension (bands only),slide bands,listening_comprehension,oral_language,literacy,pct,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Oral Vocabulary,did_midline,Oral Vocabulary (bands only),slide bands,oral_vocabulary,oral_language,literacy,pct,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Picture Comprehension,did_midline,Picture Comprehension (bands only),slide bands,picture_comprehension,oral_language,literacy,pct,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Word Reading (Untimed),did_midline,Word Reading (Untimed) (bands only),slide bands,word_reading,word_reading,literacy,pct,stack_with_caveat,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Sentence Reading,did_midline,Sentence Reading (bands only),slide bands,sentence_reading,sentence_reading,literacy,pct,stack_with_caveat,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Reading Comprehension,did_midline,Reading Comprehension (bands only),slide bands,reading_comprehension,reading_comprehension,literacy,pct,stack_with_caveat,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Letter Naming (Timed),did_midline,Letter Naming (Timed) (CPM bands only),slide cpm bands,letter_naming_fluency,letter_recognition,literacy,cpm,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Word Reading (Timed),did_midline,Word Reading (Timed) (CPM bands only),slide cpm bands,word_reading_fluency,word_reading,literacy,cpm,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Counting in Bundles,did_midline,Counting in Bundles (bands only),slide bands,place_value_bundles,place_value,numeracy,pct,stack_with_caveat,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Word Problems - Subtraction,did_midline,Word Problems - Subtraction (bands only),slide bands,word_problem_subtraction,word_problems,numeracy,pct,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Multiplication,did_midline,Multiplication (bands only),slide bands,multiplication,multiplication,numeracy,pct,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Data Handling,did_midline,Data Handling (bands only),slide bands,data_handling,data_handling,numeracy,pct,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
M_Number Writing,did_midline,Number Writing (bands only),slide bands,number_writing,number_writing,numeracy,pct,stack,high,provisional,Midline value = slide top band (>75% or >=45 cpm). No stated mean.
